# Simulation 1 (Up to date),
# 2735 data points written for 2 variables.,
# Simulation warnings:,
#   No recovery device defined in the simulation.,
#,
# Drag coefficient (​),Mach number (​)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.,
# Event IGNITION occurred at t=0 seconds,
# Event LAUNCH occurred at t=0 seconds,
0.55,0.78
0.551,0.781
0.551,0.781
0.551,0.782
0.551,0.782
0.552,0.783
0.552,0.783
0.552,0.783
0.552,0.784
0.552,0.784
0.552,0.784
0.552,0.785
0.553,0.785
0.553,0.785
0.553,0.786
0.553,0.786
0.553,0.786
0.553,0.786
0.553,0.786
0.553,0.786
0.553,0.786
0.553,0.786
0.553,0.786
0.553,0.785
0.553,0.785
0.553,0.785
0.552,0.785
0.552,0.784
0.552,0.784
0.552,0.784
0.552,0.783
0.552,0.783
0.552,0.783
0.551,0.782
0.551,0.782
0.551,0.782
0.551,0.782
0.551,0.781
0.551,0.781
0.551,0.781
0.551,0.781
0.551,0.781
0.551,0.781
0.551,0.781
0.551,0.78
0.551,0.78
0.55,0.78
